Hackers Crash Controller via Web Service,2002,Electronic Manufacturing,United Kingdom,https://www.risidata.com/Database/event_date/asc/P30
Electronic Sabatoge of Venezuela Oil Operations,2002,Petroleum,Venezuela,https://www.risidata.com/Database/event_date/asc/P30
Malformed Packet Causes PLC Crash,2002,Unknown,United States,https://www.risidata.com/Database/event_date/asc/P30
Virus Infection of Operator Training Simulator,2002,Petroleum,Canada,https://www.risidata.com/Database/event_date/asc/P30
SQL Slammer Impacts Drill Site,2003,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P30
Slammer Worm Hits Major US Auto Manufacturer,2003,Automotive,United States,https://www.risidata.com/Database/event_date/asc/P30
Slammer Impacts Offshore Platforms,2003,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P30
Computer Error Grounds Japanese Flights,2003,Transportation,Japan,https://www.risidata.com/Database/event_date/asc/P30
Telco Shuts Off Critical SCADA Comms,2003,Petroleum,Canada,https://www.risidata.com/Database/event_date/asc/P30
11 Ethernet PLCs Fail At Once,2003,Metals,United States,https://www.risidata.com/Database/event_date/asc/P60
Slammer Infected Laptop Shuts Down DCS,2003,Petroleum,United Kingdom,https://www.risidata.com/Database/event_date/asc/P60
Power Industry Slammer #1,2003,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P60
Power Industry Slammer #2,2003,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P60
Sobig Virus Strikes CSX Train Signalling System,2003,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P60
Slammer Impact on Ohio Nuclear Plant,2003,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P60
Virus Shuts Down AC Jazz Airline Flight Planning Computer,2003,Transportation,Canada,https://www.risidata.com/Database/event_date/asc/P60
Date Triggered Code Found on PLC,2003,Unknown,Unknown,https://www.risidata.com/Database/event_date/asc/P60
Control System Infected with SQLslammer Worm,2003,Petroleum,Unknown,https://www.risidata.com/Database/event_date/asc/P60
Nacchi Virus Infects Air Canada Check-In System,2003,Transportation,Canada,https://www.risidata.com/Database/event_date/asc/P60
Blaster Infects Onshore Oil Production Control System,2003,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P60
Blaster Worm Infects Chemical Plant,2003,Chemical,United Kingdom,https://www.risidata.com/Database/event_date/asc/P60
Welchia Worm Infects Automation Network,2003,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P60
Paper Company Control System Hit By Blaster,2003,Pulp and Paper,United States,https://www.risidata.com/Database/event_date/asc/P60
Blaster Impacts HMI Stations in Smelter,2003,Metals,Canada,https://www.risidata.com/Database/event_date/asc/P60
SCADA/EMS Alarm System Failure Contributes to Blackout,2003,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P60
London August 2003 Power Blackout,2003,Power and Utilities,United Kingdom,https://www.risidata.com/Database/event_date/asc/P60
Iranian Hackers Attempt to Disrupt Israel Power System,2003,Power and Utilities,Israel,https://www.risidata.com/Database/event_date/asc/P60
Baseline Audit Uncovers Virus in Water Control System,2003,Water/Waste Water,Australia,https://www.risidata.com/Database/event_date/asc/P60
MUMU Infection of Operator Training System,2003,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P60
MUMU Infection of Fiscal Metering System,2003,Petroleum,United Kingdom,https://www.risidata.com/Database/event_date/asc/P60
Proposed Hack of UK Water Systems,2003,Water/Waste Water,United Kingdom,https://www.risidata.com/Database/event_date/asc/P60
Virus/Worm Infects New Oil Platform,2003,Petroleum,Norway,https://www.risidata.com/Database/event_date/asc/P60
MUMU Infection of Leak Detection System,2003,Petroleum,United Kingdom,https://www.risidata.com/Database/event_date/asc/P60
Nachi Worm on Advanced Process Control Servers,2003,Chemical,France,https://www.risidata.com/Database/event_date/asc/P60
Infected New HMI Infects Chemical Plant DCS,2003,Chemical,Europe,https://www.risidata.com/Database/event_date/asc/P60
Single PLC Lost For Unknown Reason,2003,General Manufacturing,United States,https://www.risidata.com/Database/event_date/asc/P60
Contractor Accidentally Connects to Remote PLC,2003,Chemical,United States,https://www.risidata.com/Database/event_date/asc/P60
Ethernet Network Storm Zaps Multiple PLC5’s,2003,Pharmaceutical,United States,https://www.risidata.com/Database/event_date/asc/P60
Change of Network Service Stopped OSI Layer-2 Communication,2003,Other,Switzerland,https://www.risidata.com/Database/event_date/asc/P60
Virus Attacks a European Utility,2003,Power and Utilities,Europe,https://www.risidata.com/Database/event_date/asc/P90
Coors Brewing Shutdown,2004,Food & Beverage,United States,https://www.risidata.com/Database/event_date/asc/P90
Infected Laptop Infects SCADA Network,2004,Food & Beverage,United Kingdom,https://www.risidata.com/Database/event_date/asc/P90
